NO	KOPERASI	DESA	KECAMATAN	AKTIF	JENIS KOPERASI	KELOMPOK KOPERASI
196	Koperasi Wanita Gotong Royong	Desa Srigading	Ngoro	TRUE	Konsumen	Kop. Wanita
197	Koperasi Asy - Syafi iyah	Kesemen	Ngoro	TRUE	Pemasaran	Koppontren
198	Koperasi Wanita Kesemen Asri	Desa Kesemen	Ngoro	TRUE	Konsumen	Kop. Wanita
199	Koperasi Wanita Kutho Makmur	Ds. Kutogirang	Ngoro	TRUE	Konsumen	Kop. Wanita
200	KSPPS Jannatul Mawa 5	Lolawang	Ngoro	TRUE	Simpan Pinjam	Kop. Simpan Pinjam dan Pembiayaan Syariah
201	Koperasi Wanita Dewi Shinta	Desa Lolawang	Ngoro	TRUE	Konsumen	Kop. Wanita
202	Koperasi Wanita Jedong Lestari	Desa Wotanmasjedong	Ngoro	TRUE	Konsumen	Kop. Wanita
203	Koperasi Serba Usaha Ibnu Alwan	Ds. Watonmas Jedong	Ngoro	FALSE	Konsumen	Kop. Serba Usaha
204	Koperasi Wanita Makmur Jaya	Tanjangrono	Ngoro	TRUE	Konsumen	Kop. Wanita
205	Koperasi Wanita Melati Putih 2	Ds. Kunjoro Wesi	Ngoro	FALSE	Konsumen	Kop. Wanita
206	Koperasi Wanita Dewi Pakunjaran	Ds. Kunjorowesi 	Ngoro	TRUE	Konsumen	Kop. Wanita
207	Koperasi Wanita Teratai 3	Ds. Manduro	Ngoro	TRUE	Konsumen	Kop. Wanita
208	Koperasi Karyawan Harapan Sejahtera	Ds. Wonosari	Ngoro	TRUE	Konsumen	Kopkar
209	Koperasi Karyawan Karya Sejahtera	Ds. Wonosari	Ngoro	TRUE	Konsumen	Kopkar
210	Koperasi Karyawan Mitra Sejahtera	Ds. Wonosari	Ngoro	FALSE	Konsumen	Kopkar
211	Koperasi Wanita Gayatri	Wonosari 	Ngoro	TRUE	Konsumen	Kop. Wanita
212	Koperasi Tirta Karya	Ds. Wonosari  	Ngoro	TRUE	Konsumen	Kop. Lainnya
213	KSPPS BMT AL-Izzah Harapan Umat Jawa Timur	Desa Ngoro	Ngoro	TRUE	Simpan Pinjam	Kop. Simpan Pinjam dan Pembiayaan Syariah
214	Koperasi Karyawan Bina Usaha	Ds. Ngoro	Ngoro	FALSE	Konsumen	Kopkar
215	KSPPS Jannatul Mawa 1	Ngoro	Ngoro	TRUE	Simpan Pinjam	Kop. Simpan Pinjam dan Pembiayaan Syariah
216	Koperasi Karyawan Nusa Mulya	Ds. Ngoro	Ngoro	TRUE	Konsumen	Kopkar
217	Koperasi Karyawan Profil Sejahtera	Lolawang	Ngoro	TRUE	Konsumen	Kopkar
218	Koperasi Wanita Nusa Indah	Ds. Ngoro	Ngoro	FALSE	Konsumen	Kop. Wanita
219	Koperasi Wanita Ngoro Sejahtera	Ds. Ngoro 	Ngoro	TRUE	Konsumen	Kop. Wanita
220	Koperasi Karyawan Golden Hand	Ds. Sedati	Ngoro	FALSE	Konsumen	Kopkar
221	Koperasi Bhakti Remaja	Ds. Sedati	Ngoro	FALSE	Konsumen	Kop. Lainnya
222	Koperasi Sumber Rejeki	Ds. Sedati	Ngoro	FALSE	Konsumen	Kop. Lainnya
223	Koperasi Unit Desa Subur	Ds. Ngoro	Ngoro	TRUE	Produsen	KUD
224	Koperasi Amanatul Ummah	Sedati	Ngoro	TRUE	Konsumen	Kop. Simpan Pinjam
225	Koperasi Wanita Sekar Sedati	Sedati 	Ngoro	TRUE	Konsumen	Kop. Wanita
226	Koperasi Wanita Srikandi Purwojati	Desa Purwojati	Ngoro	TRUE	Konsumen	Kop. Wanita
227	KOPERASI KONSUMEN KARYAWAN WILMAR PADI INDONESIA		Ngoro	TRUE	Konsumen	Kopkar
228	Koperasi Karyawan Surya Makmur	Ds. Jasem	Ngoro	FALSE	Konsumen	Kopkar
229	Koperasi Pegawai Negeri Usaha Bersama	Ds.Jasem	Ngoro	TRUE	Konsumen	Kop. Pegawai Negeri (KPRI)
230	Koperasi Wanita Mutiara Putih	Desa Jasem	Ngoro	TRUE	Konsumen	Kop. Wanita
231	Koperasi Wanita Jaya Makmur	Desa Sukoanyar	Ngoro	FALSE	Konsumen	Kop. Wanita
232	Koperasi Industri Kerajinan Rakyat Mekar Sari	Ds. Bandar Asri	Ngoro	FALSE	Produsen	Kopinkra
233	Koperasi Wanita Kenikir	Ds. Bandar Asri	Ngoro	TRUE	Konsumen	Kop. Wanita
234	Koperasi Wanita Mekar Jaya	Desa Bandarasri	Ngoro	TRUE	Konsumen	Kop. Wanita
235	Koperasi Wanita Kembangsri	Ds. Kembangsri	Ngoro	TRUE	Konsumen	Kop. Wanita
236	KSPPS An - Nahal	Kembansri	Ngoro	TRUE	Simpan Pinjam	Kop. Simpan Pinjam dan Pembiayaan Syariah
237	Koperasi Wanita Putri Kembangsri	Ds. Kembangsri	Ngoro	TRUE	Konsumen	Kop. Wanita
238	Koperasi Wanita Srikandi Candiharjo	Desa Candiharjo	Ngoro	FALSE	Konsumen	Kop. Wanita
239	KSPPS Jannatul Mawa 2	Watesnegoro	Ngoro	TRUE	Simpan Pinjam	Kop. Simpan Pinjam dan Pembiayaan Syariah
240	Koperasi Wanita Moro Seneng	Desa Watesnegoro	Ngoro	TRUE	Konsumen	Kop. Wanita
241	Koperasi Wanita Sejati	Ds. Tambakrejo 	Ngoro	TRUE	Konsumen	Kop. Wanita
242	Koperasi Pegawai Republik Indonesia Gotong Royong	Tunggal pager	Pungging	TRUE	Konsumen	Kop. Pegawai Negeri (KPRI)
243	KSPPS Jannatul Mawa 81	Tunggalpager	Pungging	TRUE	Simpan Pinjam	Kop. Simpan Pinjam dan Pembiayaan Syariah
244	Koperasi Tunggal Jaya	Ds. Tunggal Pager	Pungging	FALSE	Konsumen	Kop. Lainnya
245	Koperasi Pondok Pesantren Al Maunah	Ds. Tunggal Pager	Pungging	FALSE	Konsumen	Koppontren
246	Koperasi Pondok Pesantren Nurul Hidayah	Ds. Tunggal Pager	Pungging	FALSE	Konsumen	Koppontren
247	Koperasi Wanita Bougenvile	Desa Tunggalpager	Pungging	TRUE	Konsumen	Kop. Wanita
248	Koperasi Simpan Pinjam Harta Swadiri	Ds. Tunggal Pager	Pungging	TRUE	Simpan Pinjam	Kop. Simpan Pinjam
249	Koperasi Simpan Pinjam Putra Surya Mandiri	Tunggal pager	Pungging	TRUE	Simpan Pinjam	Kop. Simpan Pinjam
250	Koperasi Simpan Pinjam Sejahtera Bersama	 Tunggalpager	Pungging	TRUE	Simpan Pinjam	Kop. Simpan Pinjam
251	Koperasi Simpan Pinjam Barokah Artha Sentosa Jawa Timur	Dusun Ketok	Pungging	TRUE	Simpan Pinjam	Kop. Simpan Pinjam
252	Koperasi Simpan Pinjam Mitra Artha Perdana	Tunggalpager 	Pungging	TRUE	Simpan Pinjam	Kop. Simpan Pinjam
253	Koperasi Wanita Putri Ayu	Kedungmungal	Pungging	TRUE	Konsumen	Kop. Wanita
254	Koperasi Wanita Tunas Harapan	Ds.Kedung M	Pungging	FALSE	Konsumen	Kop. Wanita
255	Koperasi Wanita Kembangsono	Ds. Lebaksono 	Pungging	TRUE	Konsumen	Kop. Wanita
256	Koperasi Simpan Pinjam Siah Sejahtera Bersama	Lebaksono	Pungging	FALSE	Simpan Pinjam	Kop. Simpan Pinjam
257	Koperasi Serba Usaha Indo Bontek	Ds. Jabon Tegal	Pungging	TRUE	Konsumen	Kop. Serba Usaha
258	Koperasi Wanita Jabon Tegal I	Ds. Jabon Tegal 	Pungging	TRUE	Konsumen	Kop. Wanita
259	KSPPS Jannatul Mawa 82	Kalipuro	Pungging	TRUE	Simpan Pinjam	Kop. Simpan Pinjam dan Pembiayaan Syariah
260	Koperasi Wanita Kaliayu	Desa Kalipuro	Pungging	TRUE	Konsumen	Kop. Wanita
261	Koperasi Wanita Randuharjo I	Desa Randuharjo	Pungging	TRUE	Konsumen	Kop. Wanita
262	Koperasi Wanita Rejo Sejahtera	Mojorejo 	Pungging	TRUE	Konsumen	Kop. Wanita
263	Koperasi Wanita Kenongo Putih	Ds. Watu-	Pungging	FALSE	Konsumen	Kop. Wanita
264	Koperasi Wanita Putri Kenanga	Ds. Watukenongo 	Pungging	TRUE	Konsumen	Kop. Wanita
265	Koperasi Karyawan Bina Utama	Ds. Jati Lengkong	Pungging	FALSE	Konsumen	Kopkar
266	KSPPS Jannatul Mawa 84	Jatilangkung	Pungging	TRUE	Simpan Pinjam	Kop. Simpan Pinjam dan Pembiayaan Syariah
267	Koperasi Wanita Sejati	Ds. Jati Klungkung	Pungging	FALSE	Konsumen	Kop. Wanita
268	Koperasi Wanita Cendrawasih	Ds. Jatilangkung 	Pungging	TRUE	Konsumen	Kop. Wanita
269	Koperasi Wanita Tempuran Jaya	Desa Tempuran	Pungging	TRUE	Konsumen	Kop. Wanita
270	Koperasi Wanita Purworejo	Desa Purworejo	Pungging	TRUE	Konsumen	Kop. Wanita
271	Koperai Wanita Srikandi	Banjartanggul	Pungging	TRUE	Konsumen	Kop. Wanita
272	Koperasi Wanita Putri Curahmojo	Desa Curahmojo	Pungging	TRUE	Konsumen	Kop. Wanita
273	Koperasi Wanita Mekar Sari	Ds. Banjar Tanggul	Pungging	TRUE	Konsumen	Kop. Wanita
274	Koperasi Wanita Usaha Bersama	Sekargadung	Pungging	TRUE	Konsumen	Kop. Wanita
275	Koperasi Serba Usaha Ar Rahman	 Sekargadung 	Pungging	TRUE	Konsumen	Kop. Serba Usaha
276	Koperasi Unit Desa Pungging	Pungging	Pungging	FALSE	Produsen	KUD
277	Koperasi Sinar Mas Mandiri	Ds. Pungging	Pungging	FALSE	Konsumen	Kop. Lainnya
278	Koperasi Serba Usaha Hidayah	-	Pungging	TRUE	Konsumen	Kop. Serba Usaha
279	Koperasi Industri Kerajinan Rakyat Sejahtera Abadi	-	Pungging	FALSE	Produsen	Kopinkra
280	Koperasi Wanita Pungging Lestari	Desa Pungging	Pungging	TRUE	Konsumen	Kop. Wanita
281	Koperasi Mahatidana		Pungging	TRUE	Konsumen	Kop. Lainnya
282	Koperasi Pondok Pesantren Miftahul Ulum	Ds. Kembang Ringgit	Pungging	FALSE	Konsumen	Koppontren
283	KOPERASI WANITA SAHABAT	Kembangringgit	Pungging	TRUE	Konsumen	Kop. Wanita
284	Koperasi Tunas Harapan	Ds. Balongmasin	Pungging	FALSE	Konsumen	Kop. Lainnya
285	Koperasi Wanita Melati 4	Ds. Balong Masin	Pungging	TRUE	Konsumen	Kop. Wanita
286	Koperasi Wanita Sekar Wangi	Balongmasin	Pungging	TRUE	Konsumen	Kop. Wanita
287	Koperasi Simpan Pinjam Yuma	Bangun	Pungging	TRUE	Simpan Pinjam	Kop. Simpan Pinjam
288	Koperasi Karyawan Mulya Sejahtera	Ds. Mbangun	Pungging	TRUE	Konsumen	Kopkar
289	Koperasi Karyawan Sejahtera Kurnia Anggun	Ds. Mbangun	Pungging	TRUE	Konsumen	Kopkar
290	Koperasi Wanita Gading Putih	Ds. Bangun 	Pungging	TRUE	Konsumen	Kop. Wanita
291	Koperasi Wanita Ngrame Pertiwi	Desa Ngrame	Pungging	TRUE	Konsumen	Kop. Wanita
292	Koperasi Karyawan Seruti	Ngrame	Pungging	TRUE	Konsumen	Kopkar
293	KSPPS Jannatul Mawa 85	Ngrame	Pungging	TRUE	Simpan Pinjam	Kop. Simpan Pinjam dan Pembiayaan Syariah
294	Koperasi Wanita Sri Rejeki	Ds. Ngrame	Pungging	TRUE	Konsumen	Kop. Wanita
295	Koperasi Bintang Semesta Majapahit		Kutorejo	TRUE	Produsen	Kop. Lainnya
296	Koperasi Simpan Pinjam Mitra Artha Graha Jawa Timur		Kutorejo	TRUE	Simpan Pinjam	Kop. Simpan Pinjam
297	Koperasi Wanita Payungrejo Lestari	Ds. Payungrejo 	Kutorejo	FALSE	Konsumen	Kop. Wanita
298	KSPPS Jannatul Mawa 16	Simbaringin	Kutorejo	TRUE	Simpan Pinjam	Kop. Simpan Pinjam dan Pembiayaan Syariah
299	Koperasi Serba Usaha Ikhtiar	Ds. Simbaringin	Kutorejo	FALSE	Konsumen	Kop. Serba Usaha
300	Koperasi Wanita Firdaus	Ds.  Simbaringin 	Kutorejo	TRUE	Konsumen	Kop. Wanita
301	Koperasi Karyawan Mega Bintang Indonesia	Ds. Sampang Agung	Kutorejo	TRUE	Konsumen	Kopkar
302	KOPERASI SIMPAN PINJAM HARTA SENTOSA	Sampangagung	Kutorejo	TRUE	Simpan Pinjam	Kop. Simpan Pinjam
303	Koperasi Wanita Bunda Bhakti	Desa Sampangagung	Kutorejo	TRUE	Konsumen	Kop. Wanita
304	Koperasi Wanita Dahlia 2	Ds. Jiyu	Kutorejo	TRUE	Konsumen	Kop. Wanita
305	Koperasi Damarwulan Jawa Timur	Pesanggrahan	Kutorejo	FALSE	Simpan Pinjam	Kop. Simpan Pinjam
306	Koperasi Pondok Pesantren Rachmatika	Ds. Juwinong	Kutorejo	TRUE	Konsumen	Koppontren
307	Koperasi Pondok Pesantren Tarbiyatul Akhlaq	Ds. Juwinong	Kutorejo	TRUE	Konsumen	Koppontren
308	Koperasi Wanita Tunas Melati	Desa Pesanggrahan	Kutorejo	TRUE	Konsumen	Kop. Wanita
309	Koperasi Serba Usaha Sumber Makmur	Ds. Pesanggrahan	Kutorejo	FALSE	Konsumen	Kop. Serba Usaha
310	Koperasi Wanita Melati II UP2K PKK	Pesanggrahan	Kutorejo	TRUE	Konsumen	Kop. Wanita
311	Koperasi Pegawai Negeri Serba Usaha	Windurejo	Kutorejo	TRUE	Konsumen	Kop. Pegawai Negeri (KPRI)
312	Koperasi Wanita Usaha Bunda	Ds. Windurejo 	Kutorejo	TRUE	Konsumen	Kop. Wanita
313	Koperasi Wanita Kertosari Bangkit	Ds. Kertosari 	Kutorejo	TRUE	Konsumen	Kop. Wanita
314	Koperasi Wanita Tunas Arum	Ds. Kepuharum 	Kutorejo	TRUE	Konsumen	Kop. Wanita
315	Koperasi Wanita Harapan Ibu	Ds. Gedangan 	Kutorejo	TRUE	Konsumen	Kop. Wanita
316	KOPERASI KONSUMEN ANUGERAH ARTHA SEJAHTERA	Gedangan	Kutorejo	TRUE	Konsumen	Kop. Lainnya
317	Koperasi Wanita Mitra usaha	Ds. Kutorejo 	Kutorejo	TRUE	Konsumen	Kop. Wanita
318	Koperasi Simpan Pinjam Ilmi SMAN I Kutorejo	Kutorejo	Kutorejo	TRUE	Simpan Pinjam	Kop. Simpan Pinjam
319	KSPPS Jannatul Mawa 20	Karangdiyeng	Kutorejo	TRUE	Simpan Pinjam	Kop. Simpan Pinjam dan Pembiayaan Syariah
320	Koperasi Wanita Karya	Desa Karang Dieng	Kutorejo	TRUE	Konsumen	Kop. Wanita
321	Koperasi Wanita Amanah	Sawo 	Kutorejo	TRUE	Konsumen	Kop. Wanita
322	KSPPS Jannatul Mawa 19	Wonodadi	Kutorejo	TRUE	Simpan Pinjam	Kop. Simpan Pinjam dan Pembiayaan Syariah
323	Koperasi Wanita As Syifa	Desa Wonodadi	Kutorejo	TRUE	Konsumen	Kop. Wanita
324	KSPPS Jannatul Mawa 18	Singowangi	Kutorejo	TRUE	Simpan Pinjam	Kop. Simpan Pinjam dan Pembiayaan Syariah
325	Koperasi Wanita Putri Mandiri	Singowangi	Kutorejo	TRUE	Konsumen	Kop. Wanita
326	Koperasi Simpan Pinjam Pembiayaan Syariah Ar-Rahmah Arta Syariah	Ds.Kepuh pandak	Kutorejo	TRUE	Simpan Pinjam	Kop. Simpan Pinjam dan Pembiayaan Syariah
327	Koperasi Wanita Mutiara	Ds. Kepuhpandak 	Kutorejo	TRUE	Konsumen	Kop. Wanita
328	Koperasi Pertanian Sumber Rejeki Kutorejo	Ds.Karangasem	Kutorejo	FALSE	Produsen	Kop. Pertanian
329	Koperasi Wanita Mekar sari Jaya	Desa Karangasem	Kutorejo	TRUE	Konsumen	Kop. Wanita
330	Koperasi Wanita Kaligoro Rejo	Ds. Kaligoro	Kutorejo	TRUE	Konsumen	Kop. Wanita
331	Koperasi Unit Desa Budi Raharjo	Kutorejo	Kutorejo	TRUE	Produsen	KUD
332	Koperasi Pondok Pesantren Latansa	Ds. Tumiri	Mojosari	FALSE	Konsumen	Koppontren
333	Koperasi Pondok Pesantren Sabilul Muttaqin	-	Mojosari	FALSE	Konsumen	Koppontren
334	Koperasi Serba Usaha Cintra Insani	Ds. Awang - awang	Mojosari	FALSE	Konsumen	Kop. Serba Usaha
335	Koperasi Serba Usaha Mekar Abadi	Ds. Sawahan	Mojosari	TRUE	Konsumen	Kop. Serba Usaha
336	Balai Usaha Mandiri Terpadu BMT AT	Modopuro	Mojosari	TRUE	Konsumen	Kop. Lainnya
337	Koperasi Wanita Bhakti Mandiri	Ds. Sawahan	Mojosari	TRUE	Konsumen	Kop. Wanita
338	Koperasi Bima Amanta Mambaul Ulum		Mojosari	FALSE	Produsen	Kop. Lainnya
339	Koperasi Avi Jaya Berkah Bersaudara		Mojosari	FALSE	Konsumen	Kop. Lainnya
340	Koperasi Wanita Sumbertanggul Aman Jaya	Desa Sumbertanggul	Mojosari	TRUE	Konsumen	Kop. Wanita
341	Koperasi Simpan Pinjam Artha Sejati Jaya	Belahan Tengah	Mojosari	TRUE	Simpan Pinjam	Kop. Simpan Pinjam
342	Koperasi Wanita Sahabat Barokah	Belahantengah Rt.01,Rw.01	Mojosari	TRUE	Konsumen	Kop. Wanita
343	Kop Surya Amanah Mandiri Jatim	 Awang-Awang	Mojosari	FALSE	Simpan Pinjam	Kop. Simpan Pinjam
344	Koperasi Simpan Pinjam Delta Pratama Mojosari	Awang-Awang	Mojosari	TRUE	Simpan Pinjam	Kop. Simpan Pinjam
345	Koperasi Pondok Pesantren Mambaul Ulum	Awang - Awang	Mojosari	TRUE	Pemasaran	Koppontren
346	Koperasi Wanita Awang-awang Mandiri	Awang-Awang	Mojosari	TRUE	Konsumen	Kop. Wanita
347	Koperasi Serba Usaha Adi Makmur Sentosa	Mojosari	Mojosari	TRUE	Konsumen	Kop. Serba Usaha
348	KOPERASI KONSUMEN SYARIAH MELATI PADI BERSINAR	Awang-awang	Mojosari	TRUE	Konsumen	Kop. Lainnya
349	Koperasi Simpan Pinjam Arta Anugrah Jaya	Ds.Seduri	Mojosari	TRUE	Simpan Pinjam	Kop. Simpan Pinjam
350	Koperasi Lyn Mojosari Gempol Porong Setia Kawan	Seduri	Mojosari	FALSE	Konsumen	Kop. Angkutan Darat
351	Koperasi Simpan Pinjam Mitra Sejahtera	Seduri	Mojosari	TRUE	Simpan Pinjam	Kop. Simpan Pinjam
352	Koperasi Wanita Widuri	Desa Seduri	Mojosari	TRUE	Konsumen	Kop. Wanita
353	KOPERASI KONSUMEN ARMINA PERKASA MOJOSARI	Seduri	Mojosari	TRUE	Konsumen	Kop. Lainnya
354	Koperasi Wanita Mojosulur Maju Jaya	Mojosulur	Mojosari	TRUE	Konsumen	Kop. Wanita
355	Koperasi Wanita Randubango Maju	Randubango	Mojosari	TRUE	Konsumen	Kop. Wanita
356	Koperasi Kusuma Niaga	Ds. Randu Bango	Mojosari	TRUE	Konsumen	Kop. Lainnya
357	Koperasi Simpan Pinjam Pelancar Usaha Abadi Sentosa PUAS	Randu Bango	Mojosari	TRUE	Simpan Pinjam	Kop. Simpan Pinjam
358	Koperasi Wanita Jotangan Mandiri	Ds. Jotangan	Mojosari	FALSE	Konsumen	Kop. Wanita
359	Koperasi Amanah Pertiwi	Jotangan	Mojosari	TRUE	Konsumen	Kop. Lainnya
360	Koperasi Pegawai Negeri Sari Makmur	Ds.Kebondalem	Mojosari	TRUE	Konsumen	Kop. Pegawai Negeri (KPRI)
361	Primkoppol Resort	Menanggal	Mojosari	TRUE	Konsumen	Kop. Kepolisian
362	Koperasi Wanita Menanggal Jaya	Ds. Menanggal 	Mojosari	TRUE	Konsumen	Kop. Wanita
363	KBPR Sendang Harta Sejahtera	Desa Pekukuhan	Mojosari	TRUE	Simpan Pinjam	K.B.P.R
364	Koperasi Pertanian Bina Tani Mandiri	Ds. Pekukuhan	Mojosari	FALSE	Produsen	Kop. Pertanian
365	Koperasi Simpan Pinjam Setia Bhakti	Pekukuhan	Mojosari	FALSE	Simpan Pinjam	Kop. Simpan Pinjam
366	Koperasi Wanita Mekar Sari Jaya	Desa Pekukuhan	Mojosari	TRUE	Konsumen	Kop. Wanita
367	KSPPS Jannatul Mawa 83	Lebaksono	Mojosari	TRUE	Simpan Pinjam	Kop. Simpan Pinjam dan Pembiayaan Syariah
368	Koperasi Perternakan Ternak Itik Sejahtera	Ds.Madopuro	Mojosari	FALSE	Produsen	Kop. Peternakan
369	Koperasi Serba Usaha BMT At Taqwa	Ds. Madopuro	Mojosari	FALSE	Konsumen	Kop. Serba Usaha
370	Koperasi Wanita Modopuro Mandiri Sejahtera	Ds. Modopuro 	Mojosari	FALSE	Konsumen	Kop. Wanita
371	KSPPS Jannatul Mawa 10	Kebondalem	Mojosari	FALSE	Simpan Pinjam	Kop. Simpan Pinjam dan Pembiayaan Syariah
372	Koperasi Wanita Kebondalem Sejahtera	Kebondalem	Mojosari	TRUE	Konsumen	Kop. Wanita
373	Koperasi Wanita Kedung Gempol Indah	Ds. Kedung Gempol 	Mojosari	FALSE	Konsumen	Kop. Wanita
374	Koperasi Wanita Kartini 4	Ds. Nambangan	Mojosari	FALSE	Konsumen	Kop. Wanita
375	Koperasi Wanita Ngimbangan Jaya Makmur	Ds. Ngimbangan 	Mojosari	TRUE	Konsumen	Kop. Wanita
376	Koperasi Wanita Lancar	Ds. Leminggir 	Mojosari	FALSE	Konsumen	Kop. Wanita
377	Koperasi Wanita Kusuma	Wonokusumo	Mojosari	TRUE	Konsumen	Kop. Wanita
378	Koperasi Tirtorejo	Wonokusumo	Mojosari	TRUE	Konsumen	Kop. Simpan Pinjam
379	Koperasi Simpan Pinjam Estu Utomo Mojosari	Ds. Wonokusumo	Mojosari	FALSE	Simpan Pinjam	Kop. Simpan Pinjam
380	Koperasi Wanita Srikandi Sarirejo	Sarirejo gang III	Mojosari	TRUE	Konsumen	Kop. Wanita
381	Koperasi Simpan Pinjam Artha Prima Kencana	Kauman	Mojosari	TRUE	Simpan Pinjam	Kop. Simpan Pinjam
382	Koperasi Karyawan Tirta Rimba	Mojosari	Mojosari	TRUE	Konsumen	Kopkar
383	Koperasi Pegawai Negeri KGM	Ds. Kauman	Mojosari	TRUE	Konsumen	Kop. Pegawai Negeri (KPRI)
