NO	KOPERASI	DESA	KECAMATAN	AKTIF	JENIS KOPERASI	KELOMPOK KOPERASI
384	Koperasi Simpan Pinjam Artha Niaga	Kauman	Mojosari	TRUE	Simpan Pinjam	Kop. Simpan Pinjam
385	Koperasi Wanita Putri Kauman	Kauman	Mojosari	TRUE	Konsumen	Kop. Wanita
386	Koperasi Karyawan Dana Graha	-	Mojosari	FALSE	Konsumen	Kopkar
387	Koperasi Karyawan Ramayana Sejahtera	-	Mojosari	TRUE	Konsumen	Kopkar
388	Koperasi Distribusi Otomotif Rejeki Jaya Makmur	-	Mojosari	FALSE	Konsumen	Kop. Lainnya
389	Koperasi Hidayatul Mall	-	Mojosari	FALSE	Konsumen	Kop. Lainnya
390	Koperasi Masyarakat Mitra	-	Mojosari	FALSE	Konsumen	Kop. Serba Usaha
391	Koperasi Serba Usaha Syariah BMT An Nur	Wonokusumo	Mojosari	TRUE	Konsumen	Kop. Serba Usaha
392	Primkopad Dharma Putra Mayangkara	-	Mojosari	TRUE	Konsumen	Kop. Angkatan Darat
393	Koperasi Pasar Amal Bhakti	-	Mojosari	FALSE	Pemasaran	Kop. Pasar
394	Koperasi Pondok Pesantren Choiriyah Hasyim	-	Mojosari	FALSE	Konsumen	Koppontren
395	Koperasi Pondok Pesantren Roja	-	Mojosari	FALSE	Konsumen	Koppontren
396	Koperasi Wredatama Ngesti Santoso	-	Mojosari	TRUE	Konsumen	Kop. Wredatama
397	Koperasi Pegawai Negeri Kusuma Husada	Ds. Mojosari	Mojosari	TRUE	Konsumen	Kop. Pegawai Negeri (KPRI)
398	Koperasi Pegawai Negeri Sejahtera Lestari	-	Mojosari	TRUE	Konsumen	Kop. Pegawai Negeri (KPRI)
399	Koperasi Simpan Pinjam Artha Surya Abadi	Wonokusumo	Mojosari	TRUE	Simpan Pinjam	Kop. Simpan Pinjam
400	Koperasi Simpan Pinjam Mitra Utama Sejahtera	Sarirejo	Mojosari	TRUE	Simpan Pinjam	Kop. Simpan Pinjam
401	Koperasi Pasar Pasar Raya Pertiwi	Ds. Mojosari	Mojosari	FALSE	Pemasaran	Kop. Pasar
402	Koperasi Serba Usaha Daya Guna Mandiri	-	Mojosari	FALSE	Konsumen	Kop. Serba Usaha
403	Koperasi Serba Usaha Jaya Wijaya	-	Mojosari	FALSE	Konsumen	Kop. Serba Usaha
404	Koperasi Serba Usaha Syariah Citra Madani	-	Mojosari	FALSE	Konsumen	Kop. Serba Usaha
405	Koperasi Serba Usaha Podo Makmur	Mojosari	Mojosari	TRUE	Konsumen	Kop. Serba Usaha
406	Koperasi Unit Desa Setia Budi	Ds. Mojosari	Mojosari	FALSE	Produsen	KUD
407	Koperasi Simpan Pinjam Artha Jaya Sejahtera	Sawahan	Mojosari	TRUE	Simpan Pinjam	Kop. Simpan Pinjam
408	Koperasi Simpan Pinjam Sumber Artha Niaga	Randubango	Mojosari	TRUE	Simpan Pinjam	Kop. Simpan Pinjam
409	Koperasi Pondok Pesantren Al Kamal	Kel. Mojosari IV / 57	Mojosari	FALSE	Konsumen	Koppontren
410	Koperasi BMT An Nur	-	Mojosari	TRUE	Konsumen	Kop. Lainnya
411	Koperasi Wanita Mitra Jaya Mojosari	Mojosari	Mojosari	TRUE	Konsumen	Kop. Wanita
412	KOPERASI KONSUMEN PONDOK PESANTREN KASABA EL HA	Sawahan	Mojosari	TRUE	Konsumen	Kop. Lainnya
413	Koperasi Wanita Suka Maju	Ds. Gayam	Bangsal	FALSE	Konsumen	Kop. Wanita
414	Koperasi Serba Usaha Syariah Mitra Dikari	Ds. Tawangsari 313	Bangsal	FALSE	Konsumen	Kop. Serba Usaha
415	Koperasi Serba Usaha Sumber Sejahtera	-	Bangsal	FALSE	Konsumen	Kop. Serba Usaha
416	Koperasi Serba Usaha Syariah Dinar Amanah Syariah	-	Bangsal	FALSE	Konsumen	Kop. Serba Usaha
417	Koperasi Wanita Artho Joyo	Mejoyo	Bangsal	TRUE	Konsumen	Kop. Wanita
418	Koperasi Pegawai Negeri Mapan Jaya	Sumber tebu	Bangsal	TRUE	Konsumen	Kop. Pegawai Negeri (KPRI)
419	Koperasi Jasa Adhi Jaya Narotama	Desa Pacing	Bangsal	TRUE	Jasa	Kop. Serba Usaha
420	KSPPS Jannnatul Mawa 72	Desa Pacing 	Bangsal	TRUE	Produsen	Kop. Lainnya
421	Koperasi Pondok Pesantren As Sakinah	-	Bangsal	FALSE	Konsumen	Koppontren
422	Koperasi Wanita Sahabat Qolby	Desa Pacing	Bangsal	TRUE	Konsumen	Kop. Wanita
423	Koperasi Wanita Putri Sumberwono	Desa Sumberwono	Bangsal	TRUE	Konsumen	Kop. Wanita
424	Koperasi Karyawan Prima Sejahtera	Sumberwono	Bangsal	TRUE	Konsumen	Kopkar
425	Koperasi Wanita Anggrek 1	Ds. Kadung Uneng	Bangsal	TRUE	Konsumen	Kop. Wanita
426	Koperasi Wanita Kedung Rejeki	Kedunguneng	Bangsal	TRUE	Konsumen	Kop. Wanita
427	Koperasi Wanita Kejujuran	Kutoporong	Bangsal	TRUE	Konsumen	Kop. Wanita
428	Koperasi Pegawai Negeri Sejahtera	Ngastemi	Bangsal	TRUE	Konsumen	Kop. Pegawai Negeri (KPRI)
429	Koperasi Serba Usaha Syariah An Nuriyah	-	Bangsal	TRUE	Konsumen	Kop. Serba Usaha
430	Koperasi Wanita Jaya Abadi	Desa Ngastemi	Bangsal	TRUE	Konsumen	Kop. Wanita
431	Koperasi Wanita Sekar Mulyo	Sidomulyo	Bangsal	TRUE	Konsumen	Kop. Wanita
432	Koperasi Wanita Peterongan Makmur	Ds. Peterongan 	Bangsal	TRUE	Konsumen	Kop. Wanita
433	Primer Koperasi Polisi SPN	Ds. Bangsal	Bangsal	TRUE	Konsumen	Kop. Kepolisian
434	Koperasi Estu Margo	Ds. Bangsal	Bangsal	FALSE	Konsumen	Kop. Sekunder
435	Koperasi Pertanian Minna Jaya	Ds. Bangsal	Bangsal	FALSE	Produsen	Kop. Pertanian
436	Koperasi Pegawai Negeri Citra Mandiri	-	Bangsal	TRUE	Konsumen	Kop. Pegawai Negeri (KPRI)
437	Koperasi Pegawai Negeri Giat	Bangsal	Bangsal	TRUE	Konsumen	Kop. Pegawai Negeri (KPRI)
438	Koperasi Karyawan Prima Karya Sejahtera	-	Bangsal	TRUE	Konsumen	Kopkar
439	Koperasi Wanita Permata	Desa Bangsal	Bangsal	TRUE	Konsumen	Kop. Wanita
440	Koperasi Serba Usaha Aura Sejahtera	Bangsal	Bangsal	TRUE	Konsumen	Kop. Serba Usaha
441	Koperasi Wanita Sumbertebu Jaya	Ds. Sumbertebu 	Bangsal	TRUE	Konsumen	Kop. Wanita
442	KSPPS Jannatul Mawa 73	Sidomulyo	Bangsal	TRUE	Simpan Pinjam	Kop. Simpan Pinjam dan Pembiayaan Syariah
443	Koperasi Serba Usaha Adiguna Perkasa	-	Bangsal	TRUE	Konsumen	Kop. Serba Usaha
444	Koperasi Simpan Pinjam Sarana Menuju Sukses	Bangsal	Bangsal	TRUE	Simpan Pinjam	Kop. Simpan Pinjam
445	Koperasi Wanita Putri Gayam	Ds. Gayam 	Bangsal	TRUE	Konsumen	Kop. Wanita
446	Koperasi Wanita Putri Mojopahit	Tinggarbuntut	Bangsal	TRUE	Konsumen	Kop. Wanita
447	Koperasi Serba Usaha Karya Mandiri	Pekuwon	Bangsal	TRUE	Konsumen	Kop. Serba Usaha
448	Koperasi Serba Usaha Sumber Rejeki	Ds. Pekuwon	Bangsal	FALSE	Konsumen	Kop. Serba Usaha
449	Koperasi Unit Desa Pekuwon	Ds. Pekuwon	Bangsal	FALSE	Produsen	KUD
450	Koperasi Wanita Pekuwon Makmur	Ds. Pekuwon 	Bangsal	TRUE	Konsumen	Kop. Wanita
451	Koperasi Pertanian Margo Makmur	Ds. Salen	Bangsal	FALSE	Produsen	Kop. Pertanian
452	Koperasi Wanita Tepo Seliro	Desa Salen	Bangsal	TRUE	Konsumen	Kop. Wanita
453	Koperasi Barokah	Ds. Ngrowo	Bangsal	FALSE	Konsumen	Kop. Lainnya
454	Koperasi Perkebunan Rosan Sejahtera	Ds. Ngrowo	Bangsal	FALSE	Produsen	Kop. Perkebunan
455	Koperasi Serba Usaha Eka Mandiri	Ngrowo	Bangsal	FALSE	Konsumen	Kop. Serba Usaha
456	Koperasi Wanita Putri Jaya	Ds. Ngrowo 	Bangsal	TRUE	Konsumen	Kop. Wanita
457	Koperasi Wanita Pulo Artha	Ds. Puloniti 	Bangsal	TRUE	Konsumen	Kop. Wanita
458	Koperasi Industri Kerajinan Rakyat Bina Usaha	Ds. Mojo Tamping	Bangsal	FALSE	Produsen	Kopinkra
459	Koperasi Wanita Mojotamping Indah	Desa Mojotamping	Bangsal	TRUE	Konsumen	Kop. Wanita
460	Koperasi Pegawai Negeri Mandiri	-	Mojoanyar	TRUE	Konsumen	Kop. Pegawai Negeri (KPRI)
461	Koperasi Peternakan Kambing Etawa Damarwulan	Desa Gebangmalang	Mojoanyar	TRUE	Produsen	Kop. Peternakan
462	Koperasi Syariah Keluarga Muslim Mojokerto Bersatu		Mojoanyar	TRUE	Konsumen	Kop. Lainnya
463	Koperasi Yatra Kumara Indonesia		Mojoanyar	TRUE	Konsumen	Kop. Lainnya
464	Kop Agribisnis Citra Biji Sawi		Mojoanyar	FALSE	Simpan Pinjam	Kop. Simpan Pinjam
465	Koperasi Wanita Sadar Abadi	Sadartengah	Mojoanyar	TRUE	Konsumen	Kop. Wanita
466	Koperasi Karyawan Rata	Ds. Lengkong	Mojoanyar	TRUE	Konsumen	Kopkar
467	Koperasi Wanita Jati Arum	Lengkong	Mojoanyar	TRUE	Konsumen	Kop. Wanita
468	Koperasi Marata Arum	Lengkong	Mojoanyar	FALSE	Konsumen	Kop. Lainnya
469	Koperasi Pertanian Sejahtera	Ds. Kepuh Anyar	Mojoanyar	FALSE	Produsen	Kop. Pertanian
470	Koperasi Wanita Puan Jaya	Desa Kepuhanyar	Mojoanyar	TRUE	Konsumen	Kop. Wanita
471	KSPPS Jannatul Mawa 65	Gebangmalang	Mojoanyar	TRUE	Simpan Pinjam	Kop. Simpan Pinjam dan Pembiayaan Syariah
472	Koperasi Jamu Gendong Sumber Jaya	Ds.Gebang Malang	Mojoanyar	FALSE	Konsumen	Kop. Jamu Gendong
473	Koperasi Wanita Usaha Mandiri	Desa Gebangmalang	Mojoanyar	TRUE	Konsumen	Kop. Wanita
474	Koperasi Pegawai Negeri Makmur Bersama	Jabon	Mojoanyar	TRUE	Konsumen	Kop. Pegawai Negeri (KPRI)
475	KSPPS Jannatul Mawa 64	Jabon	Mojoanyar	TRUE	Simpan Pinjam	Kop. Simpan Pinjam dan Pembiayaan Syariah
476	Koperasi Pegawai Negeri IBI Delima Putih	Jabon	Mojoanyar	TRUE	Konsumen	Kop. Pegawai Negeri (KPRI)
477	Koperasi Pegawai Negeri Tentram	Desa Jabon	Mojoanyar	TRUE	Konsumen	Kop. Pegawai Negeri (KPRI)
478	Koperasi Karyawan Seroja	Gayaman	Mojoanyar	TRUE	Konsumen	Kopkar
479	Koperasi Pertanian Mojopahit	Ds.Jabon	Mojoanyar	FALSE	Produsen	Kop. Pertanian
480	Koperasi Pegawai Negeri Bina Sehat	Jl. Raya Jabon	Mojoanyar	TRUE	Konsumen	Kop. Pegawai Negeri (KPRI)
481	Koperasi Serba Usaha Artha Pelangi	Jabon	Mojoanyar	TRUE	Konsumen	Kop. Serba Usaha
482	Koperasi Unit Desa Gotong Royong	Jabon	Mojoanyar	TRUE	Produsen	KUD
483	Koperasi Wanita Melati Jabon	Jabon	Mojoanyar	TRUE	Konsumen	Kop. Wanita
484	Puskowan Duta Mojopahit	Pacing	Mojoanyar	TRUE	Konsumen	Kop. Sekunder
485	Koperasi Karyawan PT. Jamsostek (persero)	Mojoanyar	Mojoanyar	TRUE	Konsumen	Kopkar
486	Koperasi Serba Usaha Dana Mandiri	Jabon 	Mojoanyar	TRUE	Konsumen	Kop. Serba Usaha
487	Koperasi Simpan Pinjam Mitra Perkasa	Gayaman	Mojoanyar	TRUE	Simpan Pinjam	Kop. Simpan Pinjam
488	Koperasi Wanita Sahabat Abadi	Ds.Gayaman,Kec.Mojoanyar	Mojoanyar	TRUE	Konsumen	Kop. Wanita
489	Koperasi Serba Usaha Menara Luhur Syariah Jawa Timur	Desa Gayaman	Mojoanyar	TRUE	Konsumen	Kop. Serba Usaha
490	Koperasi Karyawan Poltekes Mojopahit	Gayaman	Mojoanyar	TRUE	Konsumen	Kopkar
491	Koperasi Jasa Keuangan Tunas Arta	Gayaman	Mojoanyar	TRUE	Simpan Pinjam	Kop. Simpan Pinjam dan Pembiayaan Syariah
492	KSPPS Jannatul Mawa 61	Gayaman	Mojoanyar	TRUE	Simpan Pinjam	Kop. Simpan Pinjam dan Pembiayaan Syariah
493	Koperasi Pertanian Mojo Baru	Mojoanyar	Mojoanyar	TRUE	Produsen	Kop. Pertanian
494	Koperasi Pegawai Negeri Cassia Vera	Ds. Gayaman	Mojoanyar	TRUE	Konsumen	Kop. Pegawai Negeri (KPRI)
495	Koperasi Pegawai Negeri Giat Usaha	Gayaman	Mojoanyar	TRUE	Konsumen	Kop. Pegawai Negeri (KPRI)
496	Koperasi Serba Usaha Prospek Mandiri	-	Mojoanyar	TRUE	Konsumen	Kop. Serba Usaha
497	Koperasi Serba Usaha Syariah Karya Mulia Sejahtera	Ds. Gayaman	Mojoanyar	TRUE	Konsumen	Kop. Serba Usaha
498	Koperasi Serba Usaha Margo Sejahtera	Gayaman 	Mojoanyar	TRUE	Konsumen	Kop. Serba Usaha
499	KSPPS Jannatul Mawa 63	Ngarjo	Mojoanyar	TRUE	Simpan Pinjam	Kop. Simpan Pinjam dan Pembiayaan Syariah
500	Koperasi Wanita Makmur	Ngarjo	Mojoanyar	TRUE	Konsumen	Kop. Wanita
501	KSPPS Jannatul Mawa 62	Wunut	Mojoanyar	TRUE	Simpan Pinjam	Kop. Simpan Pinjam dan Pembiayaan Syariah
502	Koperasi Wanita Wunut Lestari	Ds. Wunut 	Mojoanyar	TRUE	Konsumen	Kop. Wanita
503	Koperasi Wanita Srikandi	Kwedenkembar 	Mojoanyar	TRUE	Konsumen	Kop. Wanita
504	Koperasi Wanita Nyaur Teratur	Desa Jumeneng	Mojoanyar	FALSE	Konsumen	Kop. Wanita
505	Koperasi Wanita Lentera	Kwatu	Mojoanyar	TRUE	Konsumen	Kop. Wanita
506	Koperasi Bina Sejahterah Sentosa		Dlanggu	TRUE	Simpan Pinjam	Kop. Lainnya
507	Koperasi Wanita Sri Rejeki Jaya	Desa Punggul	Dlanggu	TRUE	Konsumen	Kop. Wanita
508	Koperasi Simpan Pinjam Artha Gemilang	Punggul	Dlanggu	FALSE	Simpan Pinjam	Kop. Simpan Pinjam
509	Koperasi Wanita Kenanga Indah	Desa kalen, Kec. Dlanggu	Dlanggu	TRUE	Konsumen	Kop. Wanita
510	Koperasi Wanita Kenongo Sari Indah	Ds. Kalen	Dlanggu	FALSE	Konsumen	Kop. Wanita
511	KSPPS Majelis Taklim Aisyah Al - Rahmah	Kedunggede	Dlanggu	TRUE	Simpan Pinjam	Kop. Simpan Pinjam dan Pembiayaan Syariah
512	Koperasi Wanita Mitra Kedunggede	Kedunggede 	Dlanggu	TRUE	Konsumen	Kop. Wanita
513	Koperasi Wanita Srikandi Jaya	Desa Mojokarang	Dlanggu	TRUE	Konsumen	Kop. Wanita
514	Koperasi Sejahtera (Hippa)	Ds. Segunung	Dlanggu	FALSE	Konsumen	Kop. Lainnya
515	Koperasi Wanita Mekar Sari	Desa Segunung	Dlanggu	TRUE	Konsumen	Kop. Wanita
516	Koperasi Wanita Kartika	Desa Talok	Dlanggu	TRUE	Konsumen	Kop. Wanita
517	Koperasi Wanita Asri Abadi	Desa Sumbersono	Dlanggu	TRUE	Konsumen	Kop. Wanita
518	Koperasi Wanita Jrambe Barokah	Jrambe	Dlanggu	TRUE	Konsumen	Kop. Wanita
519	Koperasi Pemuda Suka Makmur	Ds. Randu Genengan	Dlanggu	FALSE	Konsumen	Kop. Pemuda
520	Koperasi Wanita Melati Putih	Desa Randu Genengan	Dlanggu	TRUE	Konsumen	Kop. Wanita
521	Koperasi Pegawai Republik Indonesia Mekar	Desa Pohkecik	Dlanggu	TRUE	Konsumen	Kop. Pegawai Negeri (KPRI)
522	Koperasi Syari ah Ponpes Minakhussaniyah	Pohkecik	Dlanggu	TRUE	Konsumen	Kop. Simpan Pinjam dan Pembiayaan Syariah
523	Koperasi Simpan Pinjam Joyo Sukses Sejahtera	Pohkecik	Dlanggu	TRUE	Simpan Pinjam	Kop. Simpan Pinjam
524	Koperasi Wanita Bina Mandiri	Desa Pohkecik	Dlanggu	TRUE	Konsumen	Kop. Wanita
525	Koperasi Perkebunan Rosan Jaya	Pohkecik 	Dlanggu	TRUE	Produsen	Kop. Perkebunan
526	Koperasi Serba Usaha Mitra Bersama	Desa Dlanggu	Dlanggu	TRUE	Konsumen	Kop. Serba Usaha
527	KSPPS Firdaus	Dlanggu	Dlanggu	TRUE	Simpan Pinjam	Kop. Simpan Pinjam dan Pembiayaan Syariah
528	Koperasi Pasar Tanjungsari		Dlanggu	FALSE	Pemasaran	Kop. Pasar
529	Koperasi Wanita Kencono Wungu	Ds. Dlanggu	Dlanggu	TRUE	Konsumen	Kop. Wanita
530	Koperasi Serba Usaha Artha Abadi	Dlanggu	Dlanggu	TRUE	Konsumen	Kop. Serba Usaha
531	Koperasi Wanita Putri Kendedes	Ds. Dlanggu 	Dlanggu	TRUE	Konsumen	Kop. Wanita
532	Koperasi Serba Usaha Artha Rahmat Sembada	Ngembeh	Dlanggu	TRUE	Konsumen	Kop. Serba Usaha
533	Koperasi Unit Desa Usaha Tani	Ds. Ngembeh	Dlanggu	TRUE	Produsen	KUD
534	Koperasi Wanita Intan	Ngembeh	Dlanggu	TRUE	Konsumen	Kop. Wanita
535	KSPPS Wardah	Sumberkarang	Dlanggu	TRUE	Simpan Pinjam	Kop. Simpan Pinjam dan Pembiayaan Syariah
536	Koperasi Pondok Pesantren Mambaul Hikmah	Ds. Sumber Karang	Dlanggu	FALSE	Konsumen	Koppontren
537	Koperasi Wanita Sri Rejeki Makmur	Desa Sumber Karang	Dlanggu	TRUE	Konsumen	Kop. Wanita
538	KSPPS Aisyah Al-Hikmah	Kedunglengkong	Dlanggu	TRUE	Simpan Pinjam	Kop. Simpan Pinjam dan Pembiayaan Syariah
539	Koperasi Serba Usaha Mahkota Dewa	Kedunglengkong	Dlanggu	FALSE	Produsen	Kop. Serba Usaha
540	Koperasi Wanita Larasati	Desa Kedunglengkong	Dlanggu	TRUE	Konsumen	Kop. Wanita
541	Koperasi Serba Usaha Maju Mandiri	-	Dlanggu	FALSE	Konsumen	Kop. Serba Usaha
542	Koperasi Wanita Sinar Mutiara	Desa Tumapel	Dlanggu	TRUE	Konsumen	Kop. Wanita
543	Koperasi Serba Usaha Adiguna Persada	Sidomulyo	Puri	TRUE	Konsumen	Kop. Serba Usaha
544	Pusat Koperasi Pegawai Negeri	Sooko	Puri	TRUE	Konsumen	Kop. Sekunder
545	Koperasi Pegawai Negeri Sejahtera/Diskop	-	Puri	TRUE	Konsumen	Kop. Pegawai Negeri (KPRI)
546	MINA BAROKAH MOJOPAHIT		Puri	TRUE	Produsen	Kop. Lainnya
547	Koperasi Karyawan Abadi	Ds. Tambak Agung 	Puri	FALSE	Konsumen	Kopkar
548	KSPPS Jannatul Mawa 53	Tambakagung	Puri	TRUE	Simpan Pinjam	Kop. Simpan Pinjam dan Pembiayaan Syariah
549	Koperasi Karyawan Dakensa	Ds. Tambak Agung - Puri	Puri	FALSE	Konsumen	Kopkar
550	Koperasi Karyawan Setia Abadi	Ds. Tambak Agung	Puri	FALSE	Konsumen	Kopkar
551	Koperasi Pegawai Negeri Dharma Usaha	Ds. Tambak Agung	Puri	TRUE	Simpan Pinjam	Kop. Pegawai Negeri (KPRI)
552	Koperasi Serba Usaha Jaya Karya Abadi	Ds. Tambakagung	Puri	FALSE	Konsumen	Kop. Serba Usaha
553	Koperasi Wanita Tambakagung Sejahtera	Ds. Tambakagung 	Puri	TRUE	Konsumen	Kop. Wanita
554	KSPPS Jannatul Mawa 51	Tampung Rejo	Puri	TRUE	Simpan Pinjam	Kop. Simpan Pinjam dan Pembiayaan Syariah
555	Koperasi Nusantara Al - Mubarok	Puri	Puri	TRUE	Konsumen	Kop. Lainnya
556	Koperasi Wanita Plososari Mandiri	Desa Plososari	Puri	TRUE	Konsumen	Kop. Wanita
557	Koperasi Perkebunan Gendhis Manis Abadi	Kintelan	Puri	TRUE	Konsumen	Kop. Pertanian
558	Koperasi Wanita Tangguh	Desa Kintelan	Puri	TRUE	Konsumen	Kop. Wanita
559	Koperasi Wanita Al Barokah	Brayung	Puri	TRUE	Konsumen	Kop. Wanita
560	Koperasi Tani Sidorukun I	Ketamasdungus	Puri	TRUE	Produsen	Kop. Pertanian
561	Koperasi Wanita Gendhis Ayu	Ketemasdungus	Puri	TRUE	Konsumen	Kop. Wanita
562	Koperasi Jasa Keuangan Syariah Cipta Mandiri Amanah	Puri	Puri	TRUE	Simpan Pinjam	Kop. Simpan Pinjam dan Pembiayaan Syariah
563	Koperasi Pertanian Ikama	-	Puri	FALSE	Produsen	Kop. Pertanian
564	Koperasi Pertanian Podo Rukun	-	Puri	FALSE	Produsen	Kop. Pertanian
565	Koperasi Wanita Melati 3	Puri	Puri	TRUE	Konsumen	Kop. Wanita
566	Koperasi Pegawai Negeri Dharma Karya	-	Puri	TRUE	Konsumen	Kop. Pegawai Negeri (KPRI)
567	Koperasi Pegawai Negeri Dwija Usaha	Puri	Puri	TRUE	Konsumen	Kop. Pegawai Negeri (KPRI)
568	Koperasi Unit Desa Sumber Pangan	Puri	Puri	TRUE	Produsen	KUD
569	Koperasi Simpan Pinjam Surya Makmur	Kenanten	Puri	TRUE	Simpan Pinjam	Kop. Simpan Pinjam
570	KSPPS Mukaromah	Tangunan	Puri	TRUE	Simpan Pinjam	Kop. Simpan Pinjam dan Pembiayaan Syariah
571	Koperasi Pedagang Kaki Lima Rasa	Ds. Tangunan	Puri	TRUE	Konsumen	Kop. Pedagang Kaki Lima
572	Koperasi Wanita Sri Tanjung	Desa Tangunan	Puri	TRUE	Konsumen	Kop. Wanita
573	Koperasi Serba Usaha Usaha Karya Jaya	Desa Tangunan	Puri	FALSE	Konsumen	Kop. Serba Usaha
574	Koperasi Wanita Sriuni	Kebonagung	Puri	TRUE	Konsumen	Kop. Wanita
